Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,524.0,915.0,1253.0,1653.0,1887.0,2185.0,2313.0,2610.0,2801.0,3084.0,3293.0,3489.0,3613.0,3848.0,4146.0,3992.0,3707.0
         Department of Defense,788.0,836.0,860.0,925.0,861.0,831.0,1078.0,1324.0,1445.0,1499.0,1582.0,1766.0,1997.0,2235.0,2475.0,2590.0,2695.0,2922.0,3067.0,3457.0,3949.0,4588.0,5158.0,5393.0,5842.0,6864.0,7634.0,8202.0,8778.0,9272.0,10446.0,11536.0,11621.0,12025.0,11833.0,12045.0,11951.0,12053.0,12201.0,12655.0,13709.0,15426.0,18866.0,22234.0,24908.0,26498.0,29764.0,32266.0,34048.0,36691.0,38292.0,39893.0,39844.0,39247.0,41492.0,41786.0
         Department of Veterans Affairs,897.0,933.0,961.0,1015.0,1058.0,1119.0,1153.0,1268.0,1344.0,1484.0,1719.0,1983.0,2291.0,2646.0,2900.0,3381.0,4066.0,4146.0,4859.0,5073.0,5740.0,6261.0,6905.0,7396.0,8070.0,8332.0,8775.0,9236.0,9629.0,10134.0,10939.0,11852.0,12594.0,13621.0,14612.0,14840.0,15567.0,15488.0,16333.0,17509.0,19082.0,21083.0,22782.0,26517.0,27951.0,29802.0,31861.0,33198.0,37686.0,42463.0,45723.0,48170.0,49758.0,52840.0,57931.0,64688.0
     Other Third Party Payers and Programs,3889.0,4329.0,4703.0,5206.0,5659.0,6334.0,6226.0,5996.0,6842.0,7758.0,8974.0,9624.0,10232.0,11317.0,12970.0,14547.0,16364.0,18163.0,20859.0,24141.0,28550.0,32801.0,36316.0,38842.0,41372.0,46711.0,53017.0,59028.0,66746.0,70559.0,77078.0,82429.0,88071.0,93570.0,97292.0,100872.0,104735.0,110273.0,119949.0,123041.0,124920.0,131406.0,138888.0,152274.0,160884.0,168933.0,179546.0,191760.0,188553.0,192405.0,204348.0,207599.0,227743.0,235181.0,241522.0,247224.0
         Worksite Health Care,62.0,66.0,71.0,78.0,87.0,97.0,110.0,128.0,147.0,171.0,196.0,217.0,246.0,281.0,327.0,373.0,448.0,530.0,617.0,719.0,826.0,953.0,1041.0,1156.0,1306.0,1393.0,1522.0,1685.0,1867.0,2035.0,2228.0,2343.0,2484.0,2610.0,2731.0,2863.0,2975.0,3112.0,3220.0,3323.0,3518.0,3655.0,3775.0,3925.0,4102.0,4282.0,4389.0,4544.0,4547.0,4573.0,4701.0,4910.0,5175.0,5366.0,5687.0,6066.0
         Other Private Revenues,295.0,330.0,365.0,421.0,486.0,570.0,662.0,776.0,984.0,1181.0,1458.0,1636.0,1899.0,2014.0,2321.0,2548.0,3650.0,4050.0,5047.0,6065.0,8464.0,10518.0,12513.0,13884.0,15393.0,18243.0,20543.0,22670.0,26577.0,27899.0,29171.0,31483.0,33870.0,36365.0,38139.0,42219.0,45832.0,50358.0,57649.0,59101.0,57248.0,55457.0,56544.0,61904.0,66277.0,70715.0,79569.0,89720.0,85692.0,91589.0,100361.0,100017.0,116048.0,119348.0,123157.0,124258.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,255.0,307.0,375.0,412.0,447.0,513.0,502.0,556.0,650.0,721.0,716.0,763.0,809.0,797.0,995.0,1203.0,1436.0,1477.0,1495.0,1652.0,1623.0,1725.0,1698.0,1751.0,1900.0,2108.0,2117.0,2294.0,2418.0,2439.0,2535.0,2569.0,2721.0,3087.0,3469.0,3520.0,3657.0,3579.0,3709.0,3770.0
         Workers' Compensation,615.0,644.0,705.0,742.0,807.0,870.0,991.0,1100.0,1244.0,1372.0,1532.0,1570.0,1715.0,2051.0,2382.0,2669.0,3031.0,3506.0,4026.0,4945.0,5606.0,6189.0,6929.0,7285.0,7661.0,8937.0,10083.0,11957.0,13816.0,15519.0,17530.0,18958.0,21100.0,22607.0,22189.0,21914.0,22050.0,22140.0,23062.0,24180.0,26476.0,30488.0,34136.0,38595.0,39879.0,41533.0,41771.0,41327.0,40049.0,35971.0,36233.0,39102.0,42354.0,44217.0,46506.0,49416.0
         General Assistance,102.0,110.0,102.0,103.0,112.0,122.0,182.0,240.0,299.0,359.0,417.0,477.0,582.0,691.0,827.0,1000.0,1131.0,1281.0,1358.0,1548.0,1899.0,2226.0,2437.0,2649.0,2875.0,3189.0,3422.0,3552.0,3742.0,4138.0,5032.0,5187.0,5531.0,5037.0,5451.0,5437.0,5414.0,5167.0,4928.0,3874.0,3940.0,4819.0,5138.0,5591.0,5904.0,6195.0,6721.0,6928.0,7146.0,7155.0,7071.0,6669.0,6423.0,6686.0,7062.0,6834.0
         Maternal/Child Health,116.0,172.0,180.0,201.0,220.0,244.0,291.0,324.0,377.0,435.0,409.0,453.0,482.0,467.0,525.0,565.0,619.0,665.0,701.0,775.0,864.0,879.0,935.0,1081.0,1111.0,1290.0,1391.0,1510.0,1580.0,1631.0,1693.0,1934.0,2146.0,2298.0,2443.0,2533.0,2644.0,2813.0,2900.0,3002.0,3158.0,3271.0,3393.0,3477.0,3469.0,3436.0,3334.0,3763.0,4147.0,3947.0,3912.0,3674.0,3418.0,3578.0,3707.0,3704.0
                          Federal  ,27.0,44.0,48.0,50.0,60.0,80.0,114.0,142.0,167.0,190.0,148.0,191.0,234.0,204.0,243.0,276.0,297.0,311.0,330.0,339.0,344.0,339.0,343.0,398.0,348.0,407.0,395.0,433.0,459.0,476.0,478.0,518.0,565.0,578.0,594.0,587.0,580.0,582.0,588.0,603.0,609.0,619.0,636.0,634.0,635.0,622.0,598.0,600.0,594.0,591.0,591.0,583.0,562.0,545.0,569.0,570.0
                          State and Local,89.0,127.0,133.0,150.0,159.0,164.0,176.0,182.0,210.0,244.0,261.0,263.0,248.0,264.0,282.0,290.0,322.0,354.0,371.0,436.0,520.0,540.0,593.0,683.0,763.0,883.0,996.0,1078.0,1121.0,1155.0,1216.0,1416.0,1581.0,1720.0,1850.0,1946.0,2064.0,2231.0,2312.0,2399.0,2549.0,2652.0,2757.0,2843.0,2834.0,2815.0,2736.0,3163.0,3552.0,3356.0,3322.0,3091.0,2856.0,3034.0,3138.0,3134.0
         Vocational Rehabilitation,20.0,22.0,25.0,29.0,33.0,41.0,58.0,88.0,115.0,131.0,155.0,180.0,184.0,190.0,202.0,210.0,210.0,219.0,220.0,224.0,223.0,229.0,233.0,246.0,257.0,262.0,270.0,289.0,300.0,308.0,318.0,332.0,343.0,338.0,360.0,360.0,352.0,367.0,378.0,389.0,421.0,449.0,463.0,469.0,468.0,461.0,498.0,497.0,489.0,518.0,558.0,552.0,530.0,523.0,526.0,534.0
                          Federal  ,12.0,14.0,15.0,18.0,20.0,27.0,42.0,66.0,86.0,100.0,121.0,140.0,144.0,149.0,158.0,164.0,163.0,170.0,168.0,171.0,170.0,172.0,172.0,183.0,195.0,200.0,207.0,223.0,232.0,238.0,246.0,257.0,264.0,253.0,271.0,271.0,263.0,276.0,286.0,293.0,317.0,342.0,355.0,359.0,361.0,355.0,377.0,373.0,374.0,398.0,435.0,432.0,411.0,405.0,406.0,412.0
                          State and Local,8.0,8.0,10.0,11.0,13.0,15.0,16.0,22.0,29.0,31.0,34.0,40.0,40.0,41.0,44.0,46.0,48.0,49.0,52.0,53.0,53.0,57.0,61.0,62.0,62.0,62.0,63.0,66.0,68.0,70.0,72.0,75.0,79.0,85.0,89.0,89.0,89.0,91.0,92.0,96.0,104.0,107.0,108.0,110.0,106.0,106.0,121.0,124.0,115.0,120.0,122.0,120.0,119.0,118.0,120.0,122.0
         Other Federal Programs*,337.0,447.0,598.0,715.0,750.0,831.0,653.0,463.0,489.0,621.0,927.0,1102.0,963.0,980.0,1086.0,695.0,823.0,854.0,948.0,1116.0,1343.0,1334.0,1184.0,1044.0,1065.0,1108.0,1133.0,1197.0,1271.0,1331.0,1556.0,1844.0,2050.0,2265.0,2472.0,2552.0,2841.0,3118.0,3395.0,3855.0,4462.0,5295.0,5676.0,6015.0,6272.0,6363.0,6421.0,6721.0,6924.0,7301.0,7739.0,9560.0,11574.0,12962.0,12159.0,12263.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,537.0,581.0,689.0,663.0,825.0,799.0,636.0,599.0,607.0,515.0,533.0,644.0,884.0,698.0,1372.0,1656.0,1685.0,1714.0,1889.0,2067.0,1783.0,1500.0,2026.0,2395.0,2564.0,2812.0,3006.0,3093.0,3125.0,3219.0,3153.0,3166.0,3206.0,3309.0,3385.0,3448.0,3420.0,3284.0,3495.0,3473.0
         Other State and Local Programs**,2221.0,2399.0,2510.0,2773.0,3013.0,3392.0,3093.0,2661.0,2944.0,3226.0,3589.0,3682.0,3839.0,4296.0,4922.0,5321.0,5227.0,5662.0,6319.0,7074.0,7389.0,8454.0,9151.0,9546.0,9600.0,10133.0,12417.0,13721.0,14801.0,15018.0,15889.0,16126.0,16011.0,17304.0,18422.0,17490.0,17330.0,17935.0,18497.0,18841.0,18750.0,20363.0,21753.0,23879.0,25776.0,26928.0,27584.0,28631.0,29543.0,30754.0,32626.0,31865.0,30827.0,31204.0,30977.0,32294.0
         School Health,122.0,140.0,147.0,143.0,151.0,168.0,187.0,215.0,242.0,263.0,290.0,308.0,321.0,346.0,377.0,400.0,433.0,509.0,559.0,600.0,663.0,708.0,753.0,795.0,847.0,919.0,986.0,1040.0,1099.0,1185.0,1293.0,1363.0,1416.0,1553.0,1701.0,1785.0,1890.0,2037.0,2197.0,2330.0,2483.0,2689.0,2888.0,3032.0,3193.0,3363.0,3569.0,3895.0,4089.0,4201.0,4293.0,4282.0,4318.0,4435.0,4536.0,4612.0
     Public Health Activity,371.0,409.0,456.0,509.0,572.0,621.0,733.0,861.0,969.0,1174.0,1356.0,1676.0,1855.0,2123.0,2584.0,2967.0,3213.0,3815.0,4588.0,5375.0,6445.0,7531.0,8621.0,9251.0,9842.0,11212.0,12387.0,13572.0,15267.0,17773.0,19997.0,22129.0,24374.0,26779.0,29594.0,31003.0,32377.0,34832.0,37457.0,40731.0,43050.0,46792.0,52201.0,54233.0,54915.0,57161.0,60803.0,65864.0,71458.0,74056.0,75487.0,74157.0,77242.0,77945.0,79005.0,80926.0
                          Federal  ,102.0,108.0,140.0,208.0,226.0,214.0,294.0,401.0,470.0,564.0,594.0,791.0,893.0,854.0,969.0,1043.0,1110.0,1152.0,1154.0,1108.0,1235.0,1216.0,1141.0,1232.0,1298.0,1326.0,1340.0,1529.0,1795.0,2028.0,2263.0,2607.0,2915.0,3167.0,3630.0,3665.0,3759.0,3931.0,4065.0,4546.0,4879.0,5779.0,8017.0,8903.0,8938.0,9078.0,9424.0,9591.0,9771.0,11876.0,14056.0,10605.0,10723.0,10217.0,10696.0,11289.0
                          State and Local,269.0,302.0,316.0,301.0,347.0,407.0,439.0,460.0,499.0,610.0,762.0,885.0,962.0,1269.0,1615.0,1924.0,2104.0,2663.0,3434.0,4267.0,5210.0,6316.0,7480.0,8019.0,8544.0,9886.0,11047.0,12043.0,13472.0,15745.0,17734.0,19522.0,21459.0,23613.0,25964.0,27338.0,28618.0,30901.0,33392.0,36185.0,38170.0,41013.0,44184.0,45329.0,45977.0,48083.0,51378.0,56273.0,61687.0,62180.0,61431.0,63552.0,66519.0,67728.0,68309.0,69637.0
     Investment,2508.0,2806.0,3427.0,3677.0,4264.0,4666.0,4855.0,5063.0,5713.0,6826.0,7516.0,8388.0,9307.0,9717.0,10661.0,12177.0,13449.0,13905.0,15285.0,16961.0,19857.0,22737.0,26006.0,28356.0,29877.0,30064.0,30974.0,34234.0,38765.0,42516.0,47323.0,50382.0,55322.0,58856.0,61552.0,63464.0,64820.0,70433.0,75133.0,80764.0,83315.0,87376.0,96769.0,103719.0,111376.0,119725.0,125157.0,138395.0,148006.0,138964.0,142741.0,149461.0,153203.0,153035.0,150873.0,154732.0
         Research,694.0,886.0,1068.0,1219.0,1366.0,1521.0,1624.0,1775.0,1877.0,1924.0,1953.0,2109.0,2357.0,2502.0,2767.0,3372.0,3707.0,3864.0,4438.0,4805.0,5429.0,5705.0,6025.0,6543.0,7608.0,8320.0,9002.0,10025.0,10836.0,11738.0,12678.0,13819.0,15091.0,16472.0,17758.0,18670.0,17808.0,19640.0,21512.0,23365.0,25475.0,28504.0,32016.0,34844.0,38578.0,40319.0,41163.0,42576.0,44278.0,45372.0,49214.0,49648.0,48421.0,46652.0,45869.0,46714.0
         Structures & Equipment,1814.0,1921.0,2360.0,2458.0,2898.0,3145.0,3230.0,3288.0,3836.0,4902.0,5563.0,6279.0,6950.0,7215.0,7895.0,8805.0,9742.0,10041.0,10847.0,12156.0,14428.0,17033.0,19982.0,21813.0,22269.0,21744.0,21972.0,24209.0,27929.0,30778.0,34645.0,36563.0,40231.0,42384.0,43794.0,44795.0,47012.0,50793.0,53622.0,57399.0,57840.0,58872.0,64753.0,68875.0,72798.0,79406.0,83994.0,95818.0,103728.0,93592.0,93527.0,99813.0,104782.0,106383.0,105004.0,108018.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,3146.0,8065.0,9759.0,11220.0,12962.0,15138.0,17639.0,20153.0,24501.0,29782.0,34883.0,40354.0,46133.0,53254.0,63419.0,75077.0,84361.0,94825.0,104440.0,112766.0,122212.0,133420.0,144045.0,163089.0,183842.0,213827.0,244183.0,272338.0,302084.0,329255.0,350919.0,371208.0,378807.0,398328.0,428164.0,475914.0,518880.0,557837.0,608953.0,656576.0,718631.0,767623.0,821410.0,884409.0,928023.0,965005.0,1004874.0,1049294.0,1128789.0,1205995.0
POPULATION,186.0,189.0,192.0,195.0,197.0,200.0,202.0,204.0,206.0,208.0,210.0,213.0,215.0,217.0,218.0,220.0,222.0,224.0,226.0,228.0,230.0,233.0,235.0,237.0,239.0,242.0,244.0,246.0,248.0,251.0,254.0,257.0,260.0,263.0,266.0,268.0,271.0,274.0,277.0,279.0,282.0,285.0,287.0,290.0,293.0,295.0,298.0,301.0,304.0,306.0,309.0,311.0,314.0,316.0,318.0,321.0
Health Consumption Expenditures,24706.0,26332.0,28414.0,30918.0,34130.0,37186.0,41227.0,46502.0,52689.0,59097.0,67046.0,74339.0,83350.0,93092.0,105884.0,121106.0,139293.0,159946.0,180046.0,204567.0,235475.0,273418.0,308038.0,339453.0,375119.0,412836.0,443712.0,482287.0,540513.0,602254.0,674070.0,737681.0,798746.0,857725.0,905669.0,958174.0,1009594.0,1065112.0,1126839.0,1197540.0,1286383.0,1399391.0,1532426.0,1664436.0,1784922.0,1904502.0,2031359.0,2157256.0,2251055.0,2355705.0,2453664.0,2538441.0,2642201.0,2724539.0,2878382.0,3050825.0
     Out of pocket,12949.0,13357.0,14255.0,15311.0,16928.0,18209.0,18594.0,18537.0,20500.0,22601.0,24953.0,26312.0,28646.0,31625.0,34373.0,37262.0,40647.0,44853.0,48016.0,52312.0,58146.0,65355.0,72450.0,78619.0,86500.0,95640.0,103610.0,109652.0,120217.0,126651.0,137882.0,140815.0,143178.0,144098.0,142035.0,144817.0,150354.0,161432.0,176906.0,187681.0,198966.0,206272.0,219314.0,235648.0,248479.0,263806.0,273196.0,289916.0,294881.0,293130.0,298727.0,308519.0,317607.0,325130.0,329652.0,338150.0
     Health Insurance,7497.0,8236.0,8999.0,9892.0,10971.0,12023.0,15673.0,21109.0,24379.0,27565.0,31763.0,36727.0,42617.0,48027.0,55956.0,66330.0,79068.0,93115.0,106582.0,122739.0,142333.0,167730.0,190651.0,212741.0,237405.0,259273.0,274699.0,300035.0,338282.0,387271.0,439113.0,492308.0,543122.0,593278.0,636747.0,681482.0,722128.0,758575.0,792527.0,846086.0,919448.0,1014921.0,1122023.0,1222281.0,1320644.0,1414602.0,1517815.0,1609716.0,1696163.0,1796114.0,1875102.0,1948166.0,2019609.0,2086283.0,2228203.0,2384525.0
          Private Health Insurance,5812.0,6468.0,7178.0,7952.0,9052.0,10072.0,10296.0,10452.0,11830.0,13363.0,15499.0,17840.0,20690.0,22994.0,26080.0,30578.0,37425.0,45692.0,52523.0,60955.0,69225.0,81804.0,94227.0,105128.0,119053.0,131311.0,136077.0,149177.0,175829.0,204775.0,233885.0,255092.0,274725.0,295294.0,308219.0,325342.0,343691.0,359826.0,385185.0,417594.0,458493.0,502498.0,561495.0,615693.0,658832.0,701724.0,737559.0,776628.0,803020.0,832551.0,863064.0,895098.0,925133.0,944901.0,999990.0,1072056.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,1842.0,4924.0,6218.0,7045.0,7672.0,8443.0,9325.0,10730.0,13428.0,16336.0,19694.0,22891.0,26668.0,30922.0,37387.0,44769.0,52351.0,59559.0,66207.0,71829.0,76829.0,83081.0,88965.0,101137.0,110182.0,120617.0,135996.0,149965.0,167670.0,184393.0,198750.0,210376.0,209420.0,213173.0,224829.0,247686.0,265381.0,282668.0,311122.0,339762.0,403690.0,432751.0,466971.0,498872.0,519253.0,546273.0,569513.0,590383.0,618452.0,646243.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,1304.0,3141.0,3541.0,4174.0,5290.0,6695.0,8314.0,9423.0,11073.0,13446.0,15188.0,17464.0,19465.0,22332.0,26032.0,30307.0,32011.0,35266.0,38233.0,40937.0,45383.0,50339.0,55080.0,61952.0,73661.0,93211.0,108186.0,122373.0,134414.0,144862.0,152170.0,160831.0,168988.0,183433.0,200322.0,224061.0,248014.0,268873.0,290664.0,309249.0,306576.0,325755.0,344229.0,374432.0,397230.0,406742.0,422732.0,445403.0,497154.0,545132.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,632.0,1525.0,1835.0,2298.0,2842.0,3810.0,4547.0,4933.0,6277.0,7409.0,9153.0,9896.0,10919.0,12705.0,14521.0,16902.0,17843.0,19587.0,21096.0,22594.0,25187.0,27868.0,30995.0,35077.0,42607.0,56847.0,68602.0,76961.0,81052.0,85945.0,91099.0,94954.0,98648.0,107143.0,116821.0,132186.0,145221.0,160753.0,172274.0,177463.0,173879.0,185487.0,203081.0,247328.0,266360.0,247125.0,243260.0,256926.0,305452.0,344033.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,672.0,1616.0,1707.0,1877.0,2447.0,2886.0,3766.0,4490.0,4797.0,6037.0,6036.0,7568.0,8547.0,9627.0,11511.0,13405.0,14168.0,15679.0,17137.0,18343.0,20196.0,22471.0,24085.0,26876.0,31054.0,36364.0,39585.0,45412.0,53363.0,58917.0,61071.0,65878.0,70340.0,76290.0,83501.0,91876.0,102793.0,108120.0,118390.0,131785.0,132697.0,140268.0,141148.0,127104.0,130870.0,159617.0,179471.0,188477.0,191702.0,201099.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,1723.0,3012.0,4167.0,5485.0,6296.0,7167.0,7566.0,8366.0,9117.0,10210.0,11106.0,11540.0,11990.0,12629.0,13509.0,13183.0,14620.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,1199.0,2097.0,2913.0,3832.0,4410.0,4982.0,5254.0,5756.0,6316.0,7126.0,7812.0,8052.0,8377.0,8780.0,9362.0,9192.0,10913.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,524.0,915.0,1253.0,1653.0,1887.0,2185.0,2313.0,2610.0,2801.0,3084.0,3293.0,3489.0,3613.0,3848.0,4146.0,3992.0,3707.0
         Department of Defense,788.0,836.0,860.0,925.0,861.0,831.0,1078.0,1324.0,1445.0,1499.0,1582.0,1766.0,1997.0,2235.0,2475.0,2590.0,2695.0,2922.0,3067.0,3457.0,3949.0,4588.0,5158.0,5393.0,5842.0,6864.0,7634.0,8202.0,8778.0,9272.0,10446.0,11536.0,11621.0,12025.0,11833.0,12045.0,11951.0,12053.0,12201.0,12655.0,13709.0,15426.0,18866.0,22234.0,24908.0,26498.0,29764.0,32266.0,34048.0,36691.0,38292.0,39893.0,39844.0,39247.0,41492.0,41786.0
